corp_name,stock_code
3S,060310
APS,054620
AP시스템,265520
AP위성,211270
AP헬스케어,109960
BF랩스,139050
BGF에코머티리얼즈,126600
CBI,013720
CG인바이츠,083790
CJ ENM,035760
CJ 바이오사이언스,311690
CJ프레시웨이,051500
CMG제약,058820
CNH,023460
CNT85,056730
CS,065770
CSA 코스믹,083660
DB금융스팩11호,456440
DGI,099520
DGP,060900
DH오토리드,290120
DH오토웨어,025440
DMS,068790
DSC인베스트먼트,241520
DXVX,180400
EDGC,245620
EG,037370
ES큐브,050120
FSN,214270
GH신소재,130500
GRT,900290
GST,083450
HB솔루션,297890
HB인베스트먼트,440290
HB테크놀러지,078150
HK이노엔,195940
HLB,028300
HLB바이오스텝,278650
HLB생명과학,067630
HLB이노베이션,024850
HLB제넥스,187420
HLB제약,047920
HLB테라퓨틱스,115450
HLB파나진,046210
HLB펩,196300
HPSP,403870
HRS,036640
IBKS제20호스팩,439730
IBKS제21호스팩,442770
IBKS제22호스팩,448760
IBKS제23호스팩,467930
IBKS제24호스팩,469480
ISC,095340
JTC,950170
JW신약,067290
JYP Ent.,035900
KBG,318000
KBI메탈,024840
KB오토시스,024120
KB제25호스팩,455250
KB제27호스팩,464680
KB제28호스팩,476470
KB제29호스팩,478390
KB제30호스팩,486630
KB제31호스팩,492220
KCC건설,021320
KD,044180
KG모빌리언스,046440
KG에코솔루션,151860
KG이니시스,035600
KH 건설,226360
KH 미래물산,111870
KH바텍,060720
KNN,058400
KS인더스트리,101000
KT나스미디어,089600
KT밀리의서재,418470
KT지니뮤직,043610
KX,122450
KX하이텍,052900
KZ정밀,036560
LB세미콘,061970
LB인베스트먼트,309960
LK삼양,225190
LS마린솔루션,060370
LS머트리얼즈,417200
LS증권,078020
LS티라유텍,322180
M83,476080
MDS테크,086960
NEW,160550
NE능률,053290
NHN KCP,060250
NHN벅스,104200
NICE인프라,063570
NPX,222160
PN풍년,024940
PS일렉트로닉스,332570
RFHIC,218410
RF머트리얼즈,327260
RF시스템즈,474610
S&K폴리텍,091340
SAMG엔터,419530
SBI인베스트먼트,019550
SBI핀테크솔루션즈,950110
SCL사이언스,246960
SDN,099220
SFA반도체,036540
SG,255220
SG&G,040610
SGA,049470
SGA솔루션즈,184230
SGC E&C,016250
SKAI,357880
SK증권제10호스팩,457940
SK증권제11호스팩,472230
SK증권제12호스팩,473000
SK증권제13호스팩,473950
SK증권제8호스팩,435870
SK증권제9호스팩,455910
SM C&C,048550
SM Life Design,063440
SOOP,067160
SV인베스트먼트,289080
THE E&M,089230
TJ미디어,032540
TKG애강,022220
TPC,048770
TS인베스트먼트,246690
TS트릴리온,317240
YBM넷,057030
YTN,040300
YW,051390
iMBC,052220
가비아,079940
가온그룹,078890
가온칩스,399720
감성코퍼레이션,036620
강동씨앤엘,198440
강스템바이오텍,217730
강원에너지,114190
갤럭시아머니트리,094480
경남스틸,039240
경남제약,053950
경동제약,011040
경창산업,024910
고려신용정보,049720
고려제약,014570
고바이오랩,348150
고스트스튜디오,950190
고영,098460
골드앤에스,035290
골프존,215000
골프존홀딩스,121440
공구우먼,366030
광림,014200
광무,029480
광진실업,026910
교보13호스팩,440790
교보14호스팩,456490
교보15호스팩,465320
교보16호스팩,482520
교보17호스팩,489210
구영테크,053270
국보디자인,066620
국순당,043650
국영지앤엠,006050
국일신동,060480
국일제지,078130
국전약품,307750
그래디언트,035080
그리드위즈,453450
그리티,204020
그린리소스,402490
그린생명과학,114450
그린플러스,186230
글로벌에스엠,900070
글로벌텍스프리,204620
글로본,019660
금강철강,053260
금양그린파워,282720
금화피에스시,036190
기가레인,049080
기가비스,420770
기산텔레콤,035460
꿈비,407400
나노,187790
나노신소재,121600
나노실리칸첨단소재,286750
나노씨엠에스,247660
나노엔텍,039860
나노캠텍,091970
나노팀,417010
나라셀라,405920
나라엠앤디,051490
나래나노텍,137080
나무가,190510
나무기술,242040
나우IB,293580
나우로보틱스,459510
나이벡,138610
나이스디앤비,130580
나이스정보통신,036800
나인테크,267320
남화산업,111710
남화토건,091590
내츄럴엔도텍,168330
네오리진,094860
네오셈,253590
네오오토,212560
네오위즈,095660
네오위즈홀딩스,042420
네오이뮨텍,950220
네오크레마,311390
네오티스,085910
네오팜,092730
네오펙트,290660
네온테크,306620
네이블,153460
네이처셀,007390
네패스,033640
네패스아크,330860
넥사다이내믹스,351320
넥스턴바이오,089140
넥스트바이오메디컬,389650
넥스트아이,137940
넥스트칩,396270
넥스틴,348210
넥슨게임즈,225570
넥써쓰,205500
넵튠,217270
노랑풍선,104620
노머스,473980
노바렉스,194700
노바텍,285490
노브랜드,145170
노블엠앤비,106520
노을,376930
녹십자엠에스,142280
녹십자웰빙,234690
농우바이오,054050
누리플랜,069140
누리플렉스,040160
누보,332290
뉴로메카,348340
뉴보텍,060260
뉴온,123840
뉴인텍,012340
뉴트리,270870
뉴파워프라즈마,144960
뉴프렉스,085670
다날,064260
다보링크,340360
다산네트웍스,039560
다산솔루에타,154040
다우데이타,032190
다원넥스뷰,323350
다원시스,068240
닷밀,464580
대동금속,020400
대동기어,008830
대동스틸,048470
대륙제관,004780
대림제지,017650
대명에너지,389260
대모,317850
대보마그네틱,290670
대봉엘에스,078140
대산F&B,065150
대성미생물,036480
대성창투,027830
대성파인텍,104040
대성하이텍,129920
대신밸런스제14호스팩,442310
대신밸런스제16호스팩,457630
대신밸런스제17호스팩,471050
대신밸런스제18호스팩,478780
대신밸런스제19호스팩,482690
대신정보통신,020180
대아티아이,045390
대양전기공업,108380
대원,007680
대원미디어,048910
대원산업,005710
대유,290380
대정화금,120240
대주산업,003310
대주전자재료,078600
대진첨단소재,393970
대창솔루션,096350
대창스틸,140520
대한과학,131220
대한광통신,010170
대한뉴팜,054670
대한약품,023910
대호특수강,021040
대화제약,067080
더네이쳐홀딩스,298540
더라미,032860
더바이오메드,214610
더블유씨피,393890
더블유에스아이,299170
더즌,462860
더코디,224060
더테크놀로지,043090
덕산네오룩스,213420
덕산테코피아,317330
덕산하이메탈,077360
덕신이피씨,090410
덕우전자,263600
데브시스터즈,194480
데이원컴퍼니,373160
데이타솔루션,263800
덱스터,206560
덴티스,261200
도이치모터스,067990
동구바이오제약,006620
동국S&C,100130
동국산업,005160
동국생명과학,303810
동국알앤에스,075970
동국제약,086450
동방메디컬,240550
동방선기,099410
동성화인텍,033500
동신건설,025950
동아엘텍,088130
동아화성,041930
동양에스텍,060380
동양이엔피,079960
동양파일,228340
동우팜투테이블,088910
동운아나텍,094170
동원개발,013120
동일금속,109860
동일기연,032960
동일스틸럭스,023790
동진쎄미켐,005290
동화기업,025900
두산테스나,131970
듀오백,073190
듀켐바이오,176750
드래곤플라이,030350
드림시큐리티,203650
드림씨아이에스,223250
드림어스컴퍼니,060570
드림인사이트,362990
디모아,016670
디바이스,187870
디비금융스팩12호,477760
디비금융제13호스팩,489730
디아이티,110990
디알젬,263690
디알텍,214680
디앤디파마텍,347850
디앤씨미디어,263720
디어유,376300
